_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
687e6bd3debff78a43c30327,,88.06,92.59,110.59,82.96,43;1;1;1,words,10,-1,1,5.86,0,1.63,false,false,english,,normal,false,false,false,,1753115603000
687e6bcadebff78a43c302bc,,120.41,93.48,128.81,70.51,43;2;0;0,words,10,-1,1,4.29,0,2.99,false,false,english,,normal,false,false,false,,1753115594000
687e6bc0debff78a43c3023d,,90.66,94,110.57,80.82,41;2;0;0,words,10,-1,2,5.43,0,3.26,false,false,english,,normal,false,false,false,,1753115584000
687e6bb3debff78a43c3019f,,71.5,93.75,78.31,31.25,42;1;0;0,words,10,-1,0,7.05,0,0,false,false,english,,normal,false,false,false,,1753115571000
687e6babdebff78a43c30124,,109.26,91.11,119.92,85.86,41;3;0;1,words,10,-1,0,4.5,0,0,false,false,english,,normal,false,false,false,,1753115563000
68784ef2f2e5b9acfdefd9b2,,97.72,100,97.72,86.93,48;0;0;0,words,10,-1,6,5.89,0,13.46,false,false,english,,normal,false,false,false,,1752714994000
68784ed5f2e5b9acfdefd8fd,,49.41,84.38,61.23,50.88,46;1;1;0,words,10,-1,23,11.17,0,57.81,false,false,english,,normal,false,false,false,,1752714965000
686de5457718545366b9b631,,77.59,81.29,123.98,87.42,97;13;5;1,time,15,-1,1,15,0,1.06,false,false,english,,normal,false,false,false,,1752032581000
686a0c797718545366984571,,103.17,95.68,111.16,89.23,129;3;1;0,time,15,-1,6,15.01,0,17.43,false,false,english,,normal,false,false,false,,1751780473000
6868973d77185453668dc9ca,,96.79,94.66,104.78,84.1,121;5;0;1,time,15,-1,3,15,0,8.96,false,false,english,,normal,false,false,false,,1751684925000
68681c8e77185453668b09fe,,103.12,95.65,110.32,90.12,129;3;1;1,time,15,-1,4,15.01,0,9.38,false,false,english,,normal,false,false,false,,1751653518000
686171c27bfbbdfc1525e51a,,101.59,98.51,106.39,86.16,127;1;0;0,time,15,-1,1,15,0,1.74,false,false,english,,normal,false,false,false,,1751216578000
